id,Name,Geschlecht,Geburtsjahr/Gründungsjahr,Type,Nationality,Title,Umsatz 2023 [€]
231,TDW Gesellschaft für verteidigungstechnische Wirksysteme mbH,,1960,2,D,,
232,Universitetet i Oslo,,,4,NOR,,
233,Verwaltungs- und Wirtschafts-Akademie München e. V.,,1922,4,D,,
234,Andøya Space,,,1,NOR,,
235,Fafo,,,1,NOR,,
236,Digital Norway,,,1,NOR,,
237,Maritimt Forum,,,7,NOR,,
238,Norsk Industri,,,7,NOR,,
239,Telenor,,,1,NOR,,
240,Norwegian Ministry of Foreign Affairs ,,,8,NOR,,
241,The Norwegian Confederation of Trade Unions,,,5,NOR,,
242,Lars Immisch,1,1967,3,D,Dr. iuris,
243,Friedrich-Schiller-Universität Jena,,,4,D,,
244,Iver Christian Olerud,1,1976,3,NOR,M. Sc.,
245,Patria,,,2,FIN,,
,,,,,,,
,,,,,,,
,,,,,,,
249,Helene Auriol Portier ,2,1962,1,FR,,
250,Safran ,,2005,2,D,,
251,Infosys,,1981,1,FR,,
252,Accor,,1967,1,FR,,
253,Warburg Pincus LLC,,1966,1,,,
254,Randstad,,1960,1,,,
255,ODDO BHF,,1849,1,,,
256,INSEAD,,1957,3,,,
257,Microsoft,,1975,1,,,
258,Orange Business Services ,,2006,1,,,
259,Ipsen,,1929,1,,,
260,Fairveley Transport,,1919,1,,,
261,Pacte PME,,2010,1,,,
262,Dell Technologies,,1984,1,,,
263,Nortel,,1895,1,,,
264,Monique Cohen ,2,1956,1,FR,,
265,Safran ,,2005,2,,,
266,Seven2,,2023,1,,,
267,Hermés,,1837,1,,,
268,BNP Parisbas,,2000,1,,,
269,JCDecaux,,1964,1,,,
270,Autorité des Marchés Financiers (AMF) ,,2003,1,,,
271,Paribas ,,1872,1,,,
272,Bernhard Gerwert,1,1953,1,D,,
273,Safran,,2005,2,FR,,
274,Thales Germany,,1957,2,D,,
275,Airbus,,1970,2,Multinational ,,
276,Airbus Defence and Space Netherlands B.V.,,1995,2,ND,,
277,EADS Defence & Security,,2003,2,Multinational,,
278,EADS Military Aircraft,,1999,2,D,,
279,EADS Defence Electronic,,2003,2,D,,
280,Celine Fornaro ,2,,,,,
281,Safran,,2005,,,,
282,Government Shareholding Agency (Agence des participations de l'État - APE),,2004,,,,
283,Air France-KLM,,2004,,,,
284,ENGIE,,2008,,,,
285,Orange,,1994,,,,
286,RATPgroup,,1948,,,,
287,EDF,,1946,,,,
288,"UBS Securities Co., Ltd",,2006,,,,
289,Bank of America Merrill Lynch,,2009,,,,
290,Embraer,,1969,,,,
